source_node_id,target_node_id,bridge_score,semantic_score,keyword_score,function_match,is_mapped,expert_tier,relevance,rationale,node2vec_score
aiuc_1:E011,owasp_agentic:ASI02,0.0,0.6594790440756483,0.008793575503643151,0.0,0,None,None,None,0.23287243109762623
aiuc_1:E011,owasp_agentic:ASI03,0.0,0.369759050150722,0.004041964968953648,1.0,0,None,None,None,0.24541955853855768
aiuc_1:E011,owasp_agentic:ASI04,0.0,0.15782720792916494,0.001090181439798689,1.0,0,None,None,None,0.24052505725139006
aiuc_1:E011,owasp_agentic:ASI05,0.0,0.6420330350237482,0.0012300974877864034,0.0,0,None,None,None,0.21933812730157737
aiuc_1:E011,owasp_agentic:ASI06,0.01882845188284521,0.5197443248378525,0.0065311549748436025,0.0,0,None,None,None,0.3858727184310642
aiuc_1:E011,owasp_agentic:ASI07,0.0,0.7915359253541302,0.004353233327633232,0.0,0,None,None,None,0.25368416345399647
aiuc_1:E011,owasp_agentic:ASI08,0.0,0.7195919338757624,0.0043905459251804635,1.0,0,None,None,None,0.22411367680959954
aiuc_1:E011,owasp_agentic:ASI09,0.017663043478260886,0.14273480632577612,0.005218677900995939,0.0,0,None,None,None,0.3283260535606728
aiuc_1:E011,owasp_agentic:ASI10,0.0,0.6194491703656582,0.001953636261376839,1.0,0,None,None,None,0.2365497384261064
aiuc_1:E012,owasp_agentic:ASI01,0.0273972602739726,0.4374903624984415,0.009774157319336087,1.0,0,None,None,None,0.3277059496968159
aiuc_1:E012,owasp_agentic:ASI02,0.025787965616045877,0.6440119711730569,0.010697308258738335,0.0,0,None,None,None,0.3699156568463486
aiuc_1:E012,owasp_agentic:ASI03,0.025641025641025657,0.2955325484224975,0.004712342041108926,1.0,0,None,None,None,0.3307899022453651
aiuc_1:E012,owasp_agentic:ASI04,0.04492512479201333,0.23679018652734563,0.0015268924688883166,1.0,0,None,None,None,0.4459229081851717
aiuc_1:E012,owasp_agentic:ASI05,0.0,0.7345715424884015,0.001722856876417129,0.0,0,None,None,None,0.23131890913433412
aiuc_1:E012,owasp_agentic:ASI06,0.014563106796116521,0.1365616288335844,0.00761437479081382,0.0,0,None,None,None,0.3279950601273865
aiuc_1:E012,owasp_agentic:ASI07,0.0,0.7303051060698279,0.005075235580251224,0.0,0,None,None,None,0.2846745676562289
aiuc_1:E012,owasp_agentic:ASI08,0.0,0.45317079860974313,0.005341061001448686,1.0,0,None,None,None,0.25276307432514494
aiuc_1:E012,owasp_agentic:ASI09,0.010227272727272717,0.5855036286590859,0.006348476360598784,0.0,0,None,None,None,0.23798899130073037
aiuc_1:E012,owasp_agentic:ASI10,0.0,0.7973878545448291,0.014556875906503737,1.0,0,None,None,None,0.22941850280914408
aiuc_1:E013,owasp_agentic:ASI01,0.09827213822894164,0.5643183207491476,0.0019461764684681828,1.0,0,None,None,None,0.38071191466571275
aiuc_1:E013,owasp_agentic:ASI02,0.04728950403690886,0.6018599842319767,0.0021299892081664417,0.0,0,None,None,None,0.3377851410321188
aiuc_1:E013,owasp_agentic:ASI03,0.04707233065442018,0.150766324033049,0.006717225090910148,1.0,0,None,None,None,0.2666764987091056
aiuc_1:E013,owasp_agentic:ASI04,0.06910039113428947,0.3073804176670988,0.0012240898877544288,1.0,0,None,None,None,0.35106416107197475
aiuc_1:E013,owasp_agentic:ASI05,0.10192525481313705,0.6465679599042702,0.007917265522921033,0.0,0,None,None,None,0.4523960661743529
aiuc_1:E013,owasp_agentic:ASI06,0.058139534883720936,0.18119633442759694,0.0026863872564259106,0.0,0,None,None,None,0.32551929067485885
aiuc_1:E013,owasp_agentic:ASI07,0.04905063291139241,0.562338998666192,0.0051331032320514666,0.0,0,None,None,None,0.3830455754881867
aiuc_1:E013,owasp_agentic:ASI08,0.06994818652849745,0.6109403774374998,0.0034615484668827244,1.0,0,None,None,None,0.38499405940297865
aiuc_1:E013,owasp_agentic:ASI09,0.07562189054726359,0.576093408714832,0.00785456448560553,0.0,0,None,None,None,0.3738022784445614
aiuc_1:E013,owasp_agentic:ASI10,0.07509881422924895,0.8537926738635933,0.008324534513797468,1.0,0,None,None,None,0.3711597122952898
aiuc_1:E014,owasp_agentic:ASI01,0.06134969325153371,0.46274421582209363,0.0,1.0,0,None,None,None,0.38340781640602156
aiuc_1:E014,owasp_agentic:ASI02,0.03846153846153847,0.3422458534631562,0.0,0.0,0,None,None,None,0.321508134592236
aiuc_1:E014,owasp_agentic:ASI03,0.051175656984785635,0.5907288414315783,0.024638032831102226,1.0,0,None,None,None,0.39086962200094
aiuc_1:E014,owasp_agentic:ASI04,0.03726708074534163,0.24765709075185105,0.00902942081300436,1.0,0,None,None,None,0.32043068686041565
aiuc_1:E014,owasp_agentic:ASI05,0.03530895334174024,0.5460561999208007,0.0,0.0,0,None,None,None,0.299277045357331
aiuc_1:E014,owasp_agentic:ASI06,0.02932098765432102,0.1968640890132197,0.0,0.0,0,None,None,None,0.292567198114568
aiuc_1:E014,owasp_agentic:ASI07,0.0386178861788618,0.8965115720299119,0.0,0.0,0,None,None,None,0.3883921967419988
aiuc_1:E014,owasp_agentic:ASI08,0.07496012759170662,0.5473057724069106,0.0,1.0,0,None,None,None,0.4550349950910065
aiuc_1:E014,owasp_agentic:ASI09,0.07398843930635833,0.3491829786795259,0.024948428848381658,0.0,0,None,None,None,0.4487515978608644
aiuc_1:E014,owasp_agentic:ASI10,0.05286839145106857,0.73920137883771,0.029346764943907776,1.0,0,None,None,None,0.38522846948691203
aiuc_1:E015,owasp_agentic:ASI01,0.1603375527426159,0.6831315214077627,0.012869841917572823,1.0,1,Related,Secondary,DETECT,0.4492400684419122
aiuc_1:E015,owasp_agentic:ASI02,0.16178194607268473,0.583316840366966,0.0058186156365886265,1.0,1,Related,Secondary,DETECT,0.5022397129897876
aiuc_1:E015,owasp_agentic:ASI03,0.16102683780630112,0.33769186236964144,0.018946964350203578,1.0,1,Related,Secondary,DETECT,0.514767086664624
aiuc_1:E015,owasp_agentic:ASI04,0.15325670498084298,0.08797105693421058,0.010814402715233469,1.0,1,Related,Secondary,DETECT,0.4817582298495491
aiuc_1:E015,owasp_agentic:ASI05,0.16171617161716176,0.7256572933085526,0.005592273423440602,1.0,1,Related,Secondary,DETECT,0.4362493686734247
aiuc_1:E015,owasp_agentic:ASI06,0.16990920881971472,0.40849087410686435,0.005631197596921505,1.0,1,Direct,Primary,DETECT,0.49130793882311347
aiuc_1:E015,owasp_agentic:ASI07,0.1619937694704051,0.749743178279715,0.0,1.0,1,Direct,Primary,DETECT,0.6332988188557083
aiuc_1:E015,owasp_agentic:ASI08,0.1820546163849156,0.564545269620793,0.0059111695067628955,1.0,1,Direct,Primary,DETECT,0.513661410253563
aiuc_1:E015,owasp_agentic:ASI09,0.1663326653306611,0.3231783846315672,0.09971662244491228,1.0,1,Related,Secondary,DETECT,0.4070110524708562
aiuc_1:E015,owasp_agentic:ASI10,0.16055500495540126,0.6654092767512575,0.024173109927267226,1.0,1,Direct,Primary,DETECT,0.4302238247565399
aiuc_1:E016,owasp_agentic:ASI01,0.09187749667110522,0.7170121200283383,0.0035444255982718933,0.0,0,None,None,None,0.4302907803203907
aiuc_1:E016,owasp_agentic:ASI02,0.08219178082191791,0.580260829989055,0.0038791899890816303,0.0,0,None,None,None,0.38141299219859753
aiuc_1:E016,owasp_agentic:ASI03,0.08169440242057499,0.300039663953055,0.044862807988415444,0.0,0,None,None,None,0.3910149539974113
aiuc_1:E016,owasp_agentic:ASI04,0.05059021922428334,0.1511179518284167,0.002229343331932028,0.0,0,None,None,None,0.32282844479220985
aiuc_1:E016,owasp_agentic:ASI05,0.09295774647887337,0.6217457309880283,0.0095459560271643,0.0,0,None,None,None,0.3986452319132594
aiuc_1:E016,owasp_agentic:ASI06,0.06324786324786336,0.19884237627356777,0.002889598839056296,0.0,0,None,None,None,0.3368436597301226
aiuc_1:E016,owasp_agentic:ASI07,0.06636155606407326,0.7959063178763094,0.0055213964794584396,0.0,0,None,None,None,0.37049802228985096
aiuc_1:E016,owasp_agentic:ASI08,0.09581881533101061,0.49458001082050507,0.012883539195205743,0.0,0,None,None,None,0.40254161765180047
aiuc_1:E016,owasp_agentic:ASI09,0.12325285895806865,0.7525906288134527,0.03589664923291774,1.0,1,Direct,Primary,DISCLOSE,0.6140470952406805
aiuc_1:E016,owasp_agentic:ASI10,0.11934673366834177,0.4413506589244639,0.055532094777628986,1.0,1,Related,Secondary,DISCLOSE,0.5608780205932754
aiuc_1:E017,owasp_agentic:ASI01,0.0528683914510686,0.3002152336284147,0.006228748440914401,0.0,0,None,None,None,0.31213770732577056
aiuc_1:E017,owasp_agentic:ASI02,0.042875157629256,0.4944457218222323,0.0,0.0,0,None,None,None,0.23782645467902022
aiuc_1:E017,owasp_agentic:ASI03,0.04265997490589712,0.3755733303585642,0.021818301256919734,0.0,0,None,None,None,0.25724550405232394
aiuc_1:E017,owasp_agentic:ASI04,0.03646563814866762,0.36775416995331334,0.0066332535226647955,0.0,0,None,None,None,0.2095968530849817
aiuc_1:E017,owasp_agentic:ASI05,0.039627039627039645,0.4609353381402212,0.0,0.0,0,None,None,None,0.22373759367027765
aiuc_1:E017,owasp_agentic:ASI06,0.03651685393258429,0.17892594388431043,0.00381290982446366,0.0,0,None,None,None,0.2722238164053281
aiuc_1:E017,owasp_agentic:ASI07,0.030088495575221256,0.8923270247382789,0.0,0.0,0,None,None,None,0.2773082911862267
aiuc_1:E017,owasp_agentic:ASI08,0.0463483146067416,0.734686287745791,0.003403682210003752,0.0,0,None,None,None,0.2312456193998353
aiuc_1:E017,owasp_agentic:ASI09,0.15207373271889407,0.40454569977463467,0.025658742051961538,1.0,1,Related,Secondary,DISCLOSE,0.4603201059006672
aiuc_1:E017,owasp_agentic:ASI10,0.04895833333333329,0.7010387571162546,0.025722179064705114,1.0,0,None,None,None,0.2654871955089067
aiuc_1:F001,owasp_agentic:ASI01,0.10245901639344272,0.6345053724057387,0.0033789302254497926,1.0,0,None,None,None,0.4160833059421053
aiuc_1:F001,owasp_agentic:ASI02,0.06240487062404878,0.8624572758139889,0.038636892277879115,0.0,0,None,None,None,0.32603356295974906
aiuc_1:F001,owasp_agentic:ASI03,0.07668711656441728,0.2551155044082309,0.0068196736396883605,0.0,0,None,None,None,0.3325507099929712
aiuc_1:F001,owasp_agentic:ASI04,0.026936026936026956,0.26503078361595533,0.022216566146626843,0.0,0,None,None,None,0.17988946595673982
aiuc_1:F001,owasp_agentic:ASI05,0.12703101920236357,0.6172343716154594,0.039230715238805836,1.0,1,Related,Secondary,PREV,0.5746062289819085
aiuc_1:F001,owasp_agentic:ASI06,0.08556149732620334,0.19986748914054422,0.006508281420895198,1.0,0,None,None,None,0.35522237416546254
aiuc_1:F001,owasp_agentic:ASI07,0.04618937644341804,0.7085043519234929,0.00734485103159083,0.0,0,None,None,None,0.3372385037910554
aiuc_1:F001,owasp_agentic:ASI08,0.10592459605026949,0.2859144997714137,0.0018464069959324078,1.0,0,None,None,None,0.44290323892052086
aiuc_1:F001,owasp_agentic:ASI09,0.08333333333333334,0.6448849764746077,0.002194670902006496,1.0,0,None,None,None,0.3815018928738775
aiuc_1:F001,owasp_agentic:ASI10,0.122762148337596,0.5109721281458426,0.0038085112297505308,1.0,1,Related,Secondary,PREV,0.5532944506109516
aiuc_1:F002,owasp_agentic:ASI01,0.06694560669456073,0.35022837640860766,0.00168910447459344,1.0,0,None,None,None,0.3885659648423308
aiuc_1:F002,owasp_agentic:ASI02,0.05977382875605823,0.8028940892752615,0.019761088418525807,1.0,0,None,None,None,0.36694776597066014
aiuc_1:F002,owasp_agentic:ASI03,0.0749185667752444,0.13385573649489987,0.005772123200429139,1.0,0,None,None,None,0.38600335372699013
aiuc_1:F002,owasp_agentic:ASI04,0.02158273381294966,0.35750323180487553,0.006722362955888795,1.0,0,None,None,None,0.19766606329188874
aiuc_1:F002,owasp_agentic:ASI05,0.10413476263399715,0.8152948642511179,0.012011822234256985,1.0,0,None,None,None,0.5474756910701405
aiuc_1:F002,owasp_agentic:ASI06,0.05390334572490715,0.3511700169927283,0.005508563044108923,1.0,0,None,None,None,0.3029870885802527
aiuc_1:F002,owasp_agentic:ASI07,0.04050632911392407,0.6241856884198651,0.006216629604738486,1.0,0,None,None,None,0.3458431224418249
aiuc_1:F002,owasp_agentic:ASI08,0.08712121212121227,0.6614256205572326,0.0009230064282652952,1.0,0,None,None,None,0.4335318637364934
aiuc_1:F002,owasp_agentic:ASI09,0.06418485237483952,0.5711790104129162,0.001097101210589729,1.0,0,None,None,None,0.3857360553498349
aiuc_1:F002,owasp_agentic:ASI10,0.11615487316421906,0.33905722601828137,0.0019038491269391775,1.0,1,Related,Secondary,DETECT,0.6246600584402979
